Start-Date,Freq
2018-09-09,161
2018-09-16,122
2018-09-23,212
2018-09-30,259
2018-10-07,388
2018-10-14,346
2018-10-21,329
2018-10-28,464
2018-11-04,407
2018-11-11,424
2018-11-18,219
2018-11-25,235
2018-12-02,239
2018-12-09,398
2018-12-16,271
2018-12-23,74
2018-12-30,74
2019-01-06,92
2019-01-13,65
2019-01-20,120
2019-01-27,262
2019-02-03,339
2019-02-10,534
2019-02-17,315
2019-02-24,354
2019-03-03,492
2019-03-10,386
2019-03-17,439
2019-03-24,84
2019-03-31,294
2019-04-07,491
2019-04-14,363
2019-04-21,374
2019-04-28,321
2019-05-05,411
2019-05-12,288
2019-05-19,90
2019-05-26,37
2019-06-02,7
2019-06-09,7
2019-06-16,11
2019-06-23,17
2019-06-30,8
2019-07-07,14
2019-07-14,13
2019-07-21,9
2019-07-28,0
2019-08-04,0
2019-08-11,59
2019-08-18,25
2019-08-25,20
2019-09-01,58
2019-09-08,89
2019-09-15,127
2019-09-22,290
2019-09-29,216
2019-10-06,293
2019-10-13,238
2019-10-20,199
2019-10-27,190
2019-11-03,252
2019-11-10,226
2019-11-17,270
2019-11-24,82
2019-12-01,69
2019-12-08,104
2019-12-15,148
2019-12-22,63
2019-12-29,79
2020-01-05,43
2020-01-12,0
2020-01-19,61
2020-01-26,146
2020-02-02,142
2020-02-09,213
2020-02-16,122
2020-02-23,227
2020-03-01,192
2020-03-08,135
2020-03-15,132
2020-03-22,111
2020-03-29,175
2020-04-05,184
2020-04-12,246
2020-04-19,192
2020-04-26,86
2020-05-03,108
2020-05-10,125
2020-05-17,55
2020-05-24,109
2020-05-31,66
2020-06-07,79
2020-06-14,49
2020-06-21,71
2020-06-28,44
2020-07-05,66
2020-07-12,83
2020-07-26,46
2020-08-02,62
2020-08-09,57
2020-08-16,40
2020-08-23,23
2020-08-30,64
2020-09-06,77
2020-09-13,108
2020-09-20,106
2020-09-27,84
2020-10-04,70
2020-10-11,84
2020-10-18,61
2020-10-25,56
2020-11-01,53
2020-11-08,74
2020-11-15,96
2020-11-22,145
2020-11-29,89
2020-12-06,83
2020-12-13,28
2020-12-20,29
2020-12-27,21
2021-01-03,9
2021-01-10,52
2021-01-17,123
2021-01-24,127
2021-01-31,126
2021-02-07,129
2021-02-14,154
